,Released_Year,Runtime,IMDB_Rating,No_of_Votes,description,director_idx,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
600,2015,130,7.8,362942,The Big Short - In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,1982,191,8.0,217664,Gandhi - The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,402,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
651,2001,90,7.8,613941,"Shrek - A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",26,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,2012,143,7.7,630614,"Skyfall - James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",438,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
267,1986,89,8.1,363401,"Stand by Me - After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",413,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2000,102,8.3,766870,Requiem for a Dream - The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,2014,103,7.7,32798,"Omoide no Mânî - Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",211,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
507,2002,120,7.9,173999,"Ying xiong - A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",539,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,1998,169,8.1,59020,"La leggenda del pianista sull'oceano - A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",167,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,2020,160,8.6,55291,"Hamilton - The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",492,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
436,1959,141,8.0,56305,"Rio Bravo - A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",187,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
582,2016,133,7.8,556608,Rogue One - The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,2017,105,8.4,384171,"Coco - Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",288,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1994,160,8.2,49300,Andaz Apna Apna - Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,395,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,1999,189,8.6,1147794,"The Green Mile - The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",141,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
981,1981,109,7.6,27650,"On Golden Pond - Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,1984,82,7.9,128812,"This Is Spinal Tap - Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",413,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
666,1992,128,7.8,46700,Lat sau san taam - A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,249,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,1984,229,8.4,311365,"Once Upon a Time in America - A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",449,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1982,117,8.1,693827,"Blade Runner - A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
928,2006,117,7.6,732876,300 - King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,543,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,1990,121,7.8,125276,"Awakenings - The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",379,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,2013,91,7.7,769145,Gravity - Two astronauts work together to survive after an accident leaves them stranded in space.,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
169,1988,142,8.2,26402,"Dom za vesanje - In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",123,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1979,117,8.4,787806,"Alien - After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
558,1947,96,7.9,41625,"Miracle on 34th Street - When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",162,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
724,2017,104,7.7,492851,"Get Out - A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
305,1954,108,8.1,142107,On the Waterfront - An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,122,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
605,2010,119,7.8,62848,Ajeossi - A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,224,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,2003,143,8.0,1015122,"Pirates of the Caribbean: The Curse of the Black Pearl - Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",168,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
383,1999,188,8.0,289742,"Magnolia - An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,2016,108,8.0,902669,"Deadpool - A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",496,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,2005,119,7.8,283310,Serenity - The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,262,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
986,1978,91,7.6,33656,"Watership Down - Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren.",312,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2009,144,8.0,28749,"Dev.D - After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
495,2007,87,7.9,174125,The Man from Earth - An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,410,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
601,2010,106,7.8,35713,Kokuhaku - A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,489,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
718,1932,93,7.8,25312,"Scarface: The Shame of the Nation - An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",187,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,1967,150,7.7,67183,"The Dirty Dozen - During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,2003,101,8.4,515451,"Oldeuboi - After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",73,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
659,1993,130,7.8,126871,"Tombstone - A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",160,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1980,124,8.1,220078,"The Elephant Man - A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",103,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,1961,134,8.0,75067,The Hustler - An up-and-coming pool player plays a long-time champion in a single high-stakes match.,422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
378,2004,115,8.0,657047,"The Incredibles - A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",58,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,1982,109,7.8,88511,"The King of Comedy - Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",313,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1978,99,8.2,26875,"Höstsonaten - A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",190,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,2013,123,8.1,432811,Rush - The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,433,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,2004,112,7.7,419483,"Crash - Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",373,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
952,1999,146,7.6,91557,"The Hurricane - The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",361,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
974,1990,162,7.6,359809,"The Godfather: Part III - Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",137,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,1989,108,7.8,481918,"Back to the Future Part II - After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",426,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
559,1946,102,7.9,92306,Notorious - A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
888,2017,113,7.6,439406,"Baby Driver - After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",119,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,2012,112,7.6,57549,El cuerpo - A detective searches for the body of a femme fatale which has gone missing from a morgue.,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
956,1998,88,7.6,256906,"Mulan - To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",506,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1975,204,8.2,51284,"Sholay - After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",397,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993,1966,111,7.6,56513,Blowup - A fashion photographer unknowingly captures a death on film after following two lovers in a park.,336,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
202,2017,137,8.1,647884,"Logan - In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,1965,197,8.0,69903,"Doctor Zhivago - The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
894,2015,133,7.6,247666,"Creed - The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",436,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
845,1976,126,7.7,39889,Le locataire - A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1974,202,9.0,1129952,"The Godfather: Part II - The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",137,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1993,133,8.1,156842,In the Name of the Father - A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,228,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,1963,138,8.0,108844,8½ - A harried movie director retreats into his memories and fantasies.,133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,2017,136,7.6,569974,"Guardians of the Galaxy Vol. 2 - The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",205,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,1993,118,7.8,215034,What's Eating Gilbert Grape - A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,2007,86,7.8,110656,"Once - A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",235,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
261,1994,102,8.1,63122,"Chung Hing sam lam - Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",269,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,1998,127,8.1,50862,"Crna macka, beli macor - Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.",123,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
397,1993,180,8.0,28825,"Bound by Honor - Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",480,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,1951,122,8.0,99182,A Streetcar Named Desire - Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2009,153,8.3,1267869,"Inglourious Basterds - In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",391,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
584,2015,168,7.8,517059,"The Hateful Eight - In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",391,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,2011,130,8.1,764493,"Harry Potter and the Deathly Hallows: Part 2 - Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",107,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
444,1955,117,8.0,61503,Les diaboliques - The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,180,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,1998,169,8.6,1235804,"Saving Private Ryan - Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",470,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
817,1993,188,7.7,42275,Short Cuts - The day-to-day lives of several suburban Los Angeles residents.,415,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,1962,80,8.0,28057,Vivre sa vie: Film en douze tableaux - Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,1950,104,7.9,52573,"Harvey - Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",181,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
773,2005,134,7.7,323103,"Brokeback Mountain - The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,2014,139,8.1,50700,"Mommy - A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,2018,119,7.7,478586,"Deadpool 2 - Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",102,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1990,146,8.7,1020727,"Goodfellas - The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",313,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,1995,98,8.1,150345,La haine - 24 hours in the lives of three young men in the French suburbs the day after a violent riot.,317,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,2003,102,7.7,415074,Lost in Translation - A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,457,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1999,136,8.7,1676426,"The Matrix - When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
333,2017,113,8.0,141923,"Wonder - Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",464,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2009,92,8.1,164462,"Mary and Max - A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,1972,124,7.8,48334,Cabaret - A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,53,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
476,2016,116,7.9,594181,Arrival - A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
858,1966,120,7.7,31222,"A Man for All Seasons - The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",145,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
976,1989,83,7.6,237696,The Little Mermaid - A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,432,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
508,2002,112,7.9,104691,Hable con ella - Two men share an odd friendship while they care for two women who are both in deep comas.,378,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
904,2010,110,7.6,311822,True Grit - A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
537,1973,114,7.9,37183,"La montaña sagrada - In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
943,2002,113,7.6,376853,"28 Days Later... - Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",95,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
611,2009,152,7.8,208994,Män som hatar kvinnor - A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,356,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
932,2004,103,7.6,379020,"Saw - Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
99,1997,126,8.3,861606,"Good Will Hunting - Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",173,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
459,1939,110,8.0,26725,"La règle du jeu - A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",215,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,1961,115,7.6,166544,"Breakfast at Tiffany's - A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
807,1997,126,7.7,434125,"The Fifth Element - In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",294,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
936,2004,133,7.6,70925,"Un long dimanche de fiançailles - Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
811,1996,129,7.7,189716,"Primal Fear - An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",170,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
776,2004,99,7.7,127250,"Kung fu - In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",465,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
640,2003,80,7.8,50622,"Les triplettes de Belleville - When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",475,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,2016,118,7.9,189400,"Captain Fantastic - In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",319,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,1934,105,8.1,94016,"It Happened One Night - A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
812,1996,242,7.7,35991,"Hamlet - Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,1982,109,8.1,371271,The Thing - A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,236,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
57,2016,161,8.4,156479,Dangal - Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,359,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,1951,105,7.7,71481,"The African Queen - In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",241,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
851,1972,109,7.7,98740,"Deliverance - Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",233,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,1944,107,8.3,143525,Double Indemnity - An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,49,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
594,2012,134,7.8,33618,"English Vinglish - A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",152,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2011,140,8.2,435950,"Warrior - The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",153,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
846,1975,85,7.7,36037,"Love and Death - In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",532,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
802,2001,122,7.7,390247,Training Day - A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
